District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production,Source_File,Season,Year
JAFFNA,0.0,0.0,7568.0,7568.0,0.0,0.0,7249.0,7249.0,0.0,0.0,1977.0,1977.0,6433.0,12719.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
KILLINOCHCHI,446.0,6589.0,9429.0,16464.0,5731.0,388.0,8205.0,14324.0,3542.0,2538.0,3246.0,3345.0,12711.0,42522.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
VAVUNIYA,6169.0,2910.0,251.0,9330.0,2896.0,6156.0,251.0,9303.0,4023.0,3862.0,3341.0,3898.0,8777.0,34214.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
MULATIVU,2026.0,3795.0,3760.0,9581.0,3562.0,1974.0,3699.0,9235.0,3883.0,3125.0,3641.0,3624.0,8713.0,31576.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
MANNAR,1334.0,8375.0,6.0,9715.0,8040.0,1280.0,6.0,9326.0,4251.0,3234.0,0.0,4108.0,8904.0,36584.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
ANURADHAPURA,31093.0,27316.0,3373.0,61782.0,27306.0,31030.0,3369.0,61705.0,4778.0,4383.0,3694.0,4520.0,49617.0,224258.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
POLONNARUWA,1610.0,50434.0,1132.0,53176.0,49922.0,1607.0,1131.0,52659.0,4955.0,4460.0,3627.0,4911.0,46582.0,228781.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
TRINCOMALEE,2918.0,14918.0,5907.0,23743.0,14565.0,2897.0,5733.0,23195.0,4300.0,3419.0,3390.0,3965.0,21548.0,85439.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
BATTICALOA,2058.0,17289.0,27426.0,46772.0,17156.0,2040.0,27378.0,46573.0,3346.0,3145.0,3125.0,3207.0,41106.0,131830.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
AMPARA,2031.0,54943.0,5741.0,62715.0,54942.0,2031.0,5660.0,62632.0,4729.0,3823.0,3364.0,4576.0,59858.0,273932.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
HAMBANTOTA,3527.0,15241.0,1112.0,19881.0,15241.0,3521.0,1111.0,19873.0,5249.0,4595.0,4099.0,5069.0,17363.0,88006.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
UDA_WALAWE,0.0,9904.0,0.0,9904.0,9904.0,0.0,0.0,9904.0,5681.0,0.0,0.0,5681.0,9706.0,55136.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
MAHAWELI_H,0.0,25106.0,0.0,25106.0,25106.0,0.0,0.0,25106.0,5303.0,0.0,0.0,5303.0,22515.0,119406.0,2005 - 2006 Maha.csv,Maha,2005 - 2006
COLOMBO,580.0,63.0,1621.0,2263.0,63.0,578.0,1616.0,2257.0,2138.0,2252.0,2506.0,2431.0,1918.0,4663.0,2005 Yala.csv,Yala,2005
GAMPAHA,347.0,819.0,2321.0,3487.0,793.0,347.0,2268.0,3408.0,3369.0,3261.0,2441.0,2741.0,2897.0,7938.0,2005 Yala.csv,Yala,2005
KALUTARA,1678.0,75.0,9726.0,11479.0,73.0,1668.0,9705.0,11446.0,2437.0,2444.0,2316.0,2335.0,10559.0,24656.0,2005 Yala.csv,Yala,2005
GALLE,72.0,0.0,9342.0,9414.0,0.0,61.0,9275.0,9336.0,0.0,3499.0,2783.0,2788.0,7306.0,20369.0,2005 Yala.csv,Yala,2005
MATARA,2803.0,3637.0,7676.0,14115.0,3628.0,2801.0,7673.0,14103.0,4060.0,3295.0,2794.0,3219.0,11134.0,35843.0,2005 Yala.csv,Yala,2005
RATNAPURA,5733.0,1815.0,2828.0,10375.0,1815.0,5687.0,2814.0,10316.0,3961.0,2928.0,2621.0,3026.0,8769.0,26532.0,2005 Yala.csv,Yala,2005
KEGALLE,1880.0,0.0,5894.0,7774.0,0.0,1877.0,5873.0,7750.0,0.0,3127.0,3062.0,3078.0,7260.0,22346.0,2005 Yala.csv,Yala,2005
KURUNEGALA,17850.0,9271.0,17841.0,44961.0,9068.0,15010.0,12695.0,36773.0,3867.0,2763.0,2532.0,2955.0,36773.0,108670.0,2005 Yala.csv,Yala,2005
PUTTALAM,3009.0,2522.0,396.0,5927.0,2414.0,2827.0,392.0,5634.0,3869.0,3065.0,2998.0,3405.0,4789.0,16304.0,2005 Yala.csv,Yala,2005
KANDY,2685.0,3828.0,2338.0,8852.0,3827.0,2647.0,2300.0,8774.0,4657.0,2494.0,2691.0,3489.0,6938.0,24208.0,2005 Yala.csv,Yala,2005
MATALE,2774.0,2144.0,450.0,5368.0,2140.0,2703.0,434.0,5276.0,3257.0,3275.0,2519.0,3205.0,4745.0,15210.0,2005 Yala.csv,Yala,2005
NUWARAELIYA,1452.0,444.0,37.0,1932.0,435.0,1422.0,36.0,1893.0,2962.0,2881.0,3812.0,2917.0,1067.0,3112.0,2005 Yala.csv,Yala,2005
BADULLA,3099.0,8273.0,22.0,11394.0,8273.0,3099.0,22.0,11394.0,4551.0,3457.0,3457.0,4251.0,9685.0,41170.0,2005 Yala.csv,Yala,2005
MONARAGALA,2371.0,3622.0,121.0,6114.0,3620.0,2342.0,121.0,6082.0,3951.0,3377.0,2988.0,3711.0,5961.0,22121.0,2005 Yala.csv,Yala,2005
JAFFNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2005 Yala.csv,Yala,2005
KILLINOCHCHI,42.0,5347.0,0.0,5389.0,4685.0,39.0,0.0,4724.0,3599.0,3350.0,0.0,3597.0,4192.0,15078.0,2005 Yala.csv,Yala,2005
VAVUNIYA,701.0,616.0,16.0,1332.0,616.0,699.0,16.0,1330.0,3873.0,3981.0,3981.0,3931.0,1255.0,4934.0,2005 Yala.csv,Yala,2005
MULATIVU,478.0,1836.0,205.0,2519.0,1787.0,461.0,194.0,2442.0,3780.0,4037.0,3316.0,3792.0,2304.0,8737.0,2005 Yala.csv,Yala,2005
MANNAR,135.0,958.0,0.0,1093.0,939.0,132.0,0.0,1071.0,4141.0,3815.0,0.0,4101.0,1023.0,4194.0,2005 Yala.csv,Yala,2005
ANURADHAPURA,7150.0,17126.0,18.0,24294.0,17126.0,7117.0,18.0,24261.0,4316.0,4018.0,3331.0,4228.0,19508.0,82477.0,2005 Yala.csv,Yala,2005
POLONNARUWA,1840.0,48025.0,0.0,49865.0,48017.0,1812.0,0.0,49829.0,4778.0,4315.0,0.0,4761.0,44079.0,209846.0,2005 Yala.csv,Yala,2005
TRINCOMALEE,1552.0,14769.0,0.0,16321.0,13542.0,1552.0,0.0,15095.0,4447.0,4615.0,0.0,4464.0,14023.0,62603.0,2005 Yala.csv,Yala,2005
BATTICALOA,1261.0,15458.0,0.0,16719.0,15455.0,1253.0,0.0,16707.0,3418.0,3854.0,0.0,3451.0,14746.0,50882.0,2005 Yala.csv,Yala,2005
AMPARA,1436.0,54705.0,183.0,56324.0,54703.0,1436.0,183.0,56322.0,4775.0,4452.0,4452.0,4766.0,53827.0,256551.0,2005 Yala.csv,Yala,2005
HAMBANTOTA,2269.0,13559.0,805.0,16633.0,13485.0,2210.0,798.0,16492.0,4357.0,3449.0,2916.0,4166.0,14409.0,60028.0,2005 Yala.csv,Yala,2005
UDA_WALAWE,0.0,9190.0,0.0,9190.0,9190.0,0.0,0.0,9190.0,5166.0,0.0,0.0,5166.0,9006.0,46529.0,2005 Yala.csv,Yala,2005
MAHAWELI_H,0.0,13479.0,0.0,13479.0,13466.0,0.0,0.0,13466.0,4843.0,0.0,0.0,4843.0,12077.0,58481.0,2005 Yala.csv,Yala,2005
COLOMBO,68.0,17.0,394.0,480.0,16.0,65.0,374.0,456.0,2702.0,2702.0,2502.0,2537.0,387.0,983.0,2006 Yala.csv,Yala,2006
GAMPAHA,68.0,420.0,670.0,1158.0,409.0,64.0,628.0,1102.0,2839.0,2818.0,2526.0,2659.0,936.0,2490.0,2006 Yala.csv,Yala,2006
KALUTARA,1437.0,22.0,8300.0,9759.0,22.0,1351.0,8012.0,9385.0,2910.0,2857.0,2665.0,2693.0,8657.0,23316.0,2006 Yala.csv,Yala,2006
GALLE,27.0,0.0,4886.0,4912.0,0.0,27.0,4869.0,4895.0,0.0,4205.0,2720.0,2728.0,3831.0,10453.0,2006 Yala.csv,Yala,2006
MATARA,2105.0,2929.0,6409.0,11443.0,2920.0,2105.0,6390.0,11415.0,3702.0,3324.0,3556.0,3550.0,9012.0,31996.0,2006 Yala.csv,Yala,2006
RATNAPURA,5263.0,1847.0,2410.0,9520.0,1843.0,5241.0,2397.0,9482.0,4267.0,3361.0,2690.0,3368.0,8060.0,27142.0,2006 Yala.csv,Yala,2006
KEGALLE,1432.0,0.0,4039.0,5471.0,0.0,1431.0,4037.0,5468.0,0.0,3340.0,3055.0,3130.0,5122.0,16030.0,2006 Yala.csv,Yala,2006
KURUNEGALA,17221.0,10387.0,7484.0,35093.0,9868.0,16360.0,7110.0,33338.0,4291.0,3527.0,3058.0,3653.0,33338.0,121783.0,2006 Yala.csv,Yala,2006
PUTTALAM,3223.0,3276.0,283.0,6781.0,3119.0,3194.0,261.0,6574.0,4257.0,3121.0,2790.0,3647.0,5588.0,20378.0,2006 Yala.csv,Yala,2006
KANDY,2599.0,3797.0,1671.0,8067.0,3796.0,2595.0,1501.0,7893.0,4627.0,3215.0,3222.0,3895.0,6241.0,24313.0,2006 Yala.csv,Yala,2006
MATALE,2965.0,3749.0,554.0,7268.0,3749.0,2965.0,554.0,7268.0,3925.0,3228.0,3224.0,3587.0,6536.0,23447.0,2006 Yala.csv,Yala,2006
NUWARAELIYA,1430.0,459.0,34.0,1923.0,449.0,1401.0,34.0,1883.0,3229.0,3069.0,3774.0,3120.0,1061.0,3311.0,2006 Yala.csv,Yala,2006
BADULLA,3121.0,8198.0,18.0,11337.0,8182.0,3098.0,18.0,11298.0,4591.0,3855.0,3949.0,4388.0,9603.0,42141.0,2006 Yala.csv,Yala,2006
MONARAGALA,2398.0,4023.0,158.0,6579.0,4023.0,2398.0,158.0,6579.0,4383.0,3542.0,3516.0,4055.0,6448.0,26148.0,2006 Yala.csv,Yala,2006
JAFFNA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2006 Yala.csv,Yala,2006
KILLINOCHCHI,48.0,5187.0,0.0,5235.0,4451.0,37.0,0.0,4488.0,3563.0,3317.0,0.0,3561.0,3982.0,14180.0,2006 Yala.csv,Yala,2006
VAVUNIYA,428.0,293.0,0.0,721.0,291.0,420.0,0.0,710.0,4526.0,4367.0,0.0,4432.0,670.0,2970.0,2006 Yala.csv,Yala,2006
MULATIVU,353.0,1653.0,749.0,2755.0,1570.0,335.0,712.0,2617.0,3742.0,3997.0,3283.0,3650.0,2469.0,9012.0,2006 Yala.csv,Yala,2006
MANNAR,5.0,43.0,0.0,48.0,43.0,5.0,0.0,48.0,4100.0,3777.0,0.0,4067.0,46.0,185.0,2006 Yala.csv,Yala,2006
ANURADHAPURA,5706.0,15472.0,23.0,21201.0,15428.0,5621.0,23.0,21072.0,4704.0,4165.0,4071.0,4560.0,16944.0,77257.0,2006 Yala.csv,Yala,2006
POLONNARUWA,1657.0,46844.0,0.0,48501.0,46844.0,1657.0,0.0,48501.0,4909.0,4628.0,0.0,4899.0,42904.0,210183.0,2006 Yala.csv,Yala,2006
TRINCOMALEE,950.0,10077.0,0.0,11027.0,9549.0,781.0,0.0,10330.0,4484.0,3573.0,0.0,4415.0,9596.0,42370.0,2006 Yala.csv,Yala,2006
BATTICALOA,1079.0,14397.0,22.0,15498.0,14215.0,988.0,22.0,15226.0,3650.0,3623.0,3623.0,3649.0,13438.0,49031.0,2006 Yala.csv,Yala,2006
AMPARA,1309.0,53667.0,59.0,55036.0,53653.0,1308.0,59.0,55021.0,4901.0,4212.0,4624.0,4884.0,52584.0,256824.0,2006 Yala.csv,Yala,2006
HAMBANTOTA,2202.0,13490.0,756.0,16448.0,13466.0,2187.0,753.0,16406.0,4693.0,3615.0,2962.0,4470.0,14334.0,64069.0,2006 Yala.csv,Yala,2006
UDA_WALAWE,0.0,9484.0,0.0,9484.0,9294.0,0.0,0.0,9294.0,5424.0,0.0,0.0,5424.0,9108.0,49404.0,2006 Yala.csv,Yala,2006
MAHAWELI_H,0.0,13451.0,0.0,13451.0,13451.0,0.0,0.0,13451.0,4717.0,0.0,0.0,4717.0,12062.0,56901.0,2006 Yala.csv,Yala,2006
COLOMBO,747.0,52.0,2555.0,3354.0,52.0,747.0,2550.0,3349.0,3004.0,3010.0,3040.0,3033.0,2846.0,8632.0,2006-2007  Maha.csv,Maha,2006-2007
GAMPAHA,903.0,1027.0,6472.0,8402.0,926.0,853.0,6311.0,8091.0,3079.0,2912.0,3171.0,3134.0,6878.0,21551.0,2006-2007  Maha.csv,Maha,2006-2007
KALUTARA,1801.0,79.0,10631.0,12511.0,74.0,1628.0,9728.0,11431.0,3217.0,3025.0,3194.0,3170.0,10545.0,33424.0,2006-2007  Maha.csv,Maha,2006-2007
GALLE,144.0,0.0,12251.0,12395.0,0.0,144.0,12226.0,12370.0,0.0,3418.0,3418.0,3418.0,9681.0,33088.0,2006-2007  Maha.csv,Maha,2006-2007
MATARA,2845.0,3034.0,7297.0,13176.0,3034.0,2533.0,7291.0,12858.0,4337.0,3811.0,3382.0,3692.0,10151.0,37477.0,2006-2007  Maha.csv,Maha,2006-2007
RATNAPURA,5987.0,1904.0,3245.0,11136.0,1904.0,5952.0,3237.0,11092.0,4348.0,3382.0,2678.0,3342.0,9429.0,31512.0,2006-2007  Maha.csv,Maha,2006-2007
KEGALLE,2144.0,0.0,6089.0,8233.0,0.0,2144.0,6084.0,8228.0,0.0,3255.0,3103.0,3143.0,7708.0,24223.0,2006-2007  Maha.csv,Maha,2006-2007
KURUNEGALA,32799.0,12699.0,26233.0,71731.0,12683.0,32519.0,24533.0,69736.0,4739.0,4163.0,3500.0,4035.0,69736.0,281367.0,2006-2007  Maha.csv,Maha,2006-2007
PUTTALAM,6337.0,5568.0,673.0,12579.0,5309.0,5940.0,525.0,11774.0,4274.0,3735.0,3383.0,3962.0,10008.0,39652.0,2006-2007  Maha.csv,Maha,2006-2007
KANDY,4958.0,3894.0,3189.0,12042.0,3894.0,4955.0,3189.0,12039.0,5083.0,2678.0,3639.0,3710.0,9520.0,35322.0,2006-2007  Maha.csv,Maha,2006-2007
MATALE,7020.0,4745.0,3516.0,15281.0,4745.0,6975.0,3469.0,15189.0,4147.0,3820.0,3576.0,3866.0,13660.0,52813.0,2006-2007  Maha.csv,Maha,2006-2007
NUWARAELIYA,4194.0,1020.0,121.0,5335.0,1020.0,4190.0,121.0,5331.0,4369.0,3244.0,3210.0,3459.0,3004.0,10390.0,2006-2007  Maha.csv,Maha,2006-2007
BADULLA,8637.0,10398.0,3231.0,22266.0,10397.0,8632.0,3231.0,22260.0,5060.0,3993.0,3599.0,4434.0,18921.0,83899.0,2006-2007  Maha.csv,Maha,2006-2007
MONARAGALA,7614.0,6657.0,9273.0,23544.0,6646.0,7611.0,8814.0,23071.0,4904.0,3944.0,3598.0,4089.0,22609.0,92439.0,2006-2007  Maha.csv,Maha,2006-2007
JAFFNA,0.0,0.0,6918.0,6918.0,0.0,0.0,6257.0,6257.0,0.0,0.0,2141.0,2141.0,5552.0,11886.0,2006-2007  Maha.csv,Maha,2006-2007
KILLINOCHCHI,469.0,6589.0,9430.0,16488.0,5731.0,408.0,8206.0,14345.0,3542.0,2538.0,3246.0,3344.0,12729.0,42569.0,2006-2007  Maha.csv,Maha,2006-2007
VAVUNIYA,3248.0,692.0,125.0,4064.0,690.0,3242.0,120.0,4052.0,4499.0,4306.0,3924.0,4327.0,3823.0,16542.0,2006-2007  Maha.csv,Maha,2006-2007
MULATIVU,2014.0,3795.0,3760.0,9568.0,3561.0,1974.0,3699.0,9235.0,3883.0,3125.0,3641.0,3624.0,8713.0,31575.0,2006-2007  Maha.csv,Maha,2006-2007
MANNAR,837.0,4830.0,0.0,5668.0,4637.0,805.0,0.0,5442.0,3924.0,3584.0,0.0,3874.0,5196.0,20130.0,2006-2007  Maha.csv,Maha,2006-2007
ANURADHAPURA,29947.0,24853.0,2761.0,57562.0,24853.0,29876.0,2760.0,57490.0,5067.0,4567.0,3377.0,4726.0,46228.0,218485.0,2006-2007  Maha.csv,Maha,2006-2007
POLONNARUWA,1591.0,47846.0,1128.0,50565.0,47837.0,1590.0,1106.0,50533.0,5143.0,4821.0,4514.0,5119.0,44701.0,228835.0,2006-2007  Maha.csv,Maha,2006-2007
TRINCOMALEE,1575.0,11537.0,3175.0,16287.0,11527.0,1575.0,2824.0,15926.0,4386.0,4156.0,3809.0,4261.0,14796.0,63039.0,2006-2007  Maha.csv,Maha,2006-2007
BATTICALOA,194.0,6651.0,11623.0,18469.0,5108.0,55.0,9522.0,14685.0,3480.0,2697.0,2577.0,2891.0,12961.0,37476.0,2006-2007  Maha.csv,Maha,2006-2007
AMPARA,1155.0,46825.0,3823.0,51803.0,46823.0,1154.0,3770.0,51747.0,5029.0,4263.0,3970.0,4934.0,49454.0,244031.0,2006-2007  Maha.csv,Maha,2006-2007
HAMBANTOTA,4003.0,17305.0,1012.0,22320.0,16834.0,3983.0,1059.0,21875.0,5429.0,4743.0,3591.0,5215.0,19112.0,99677.0,2006-2007  Maha.csv,Maha,2006-2007
UDA_WALAWE,0.0,9460.0,0.0,9460.0,9460.0,0.0,0.0,9460.0,5636.0,0.0,0.0,5636.0,9270.0,52243.0,2006-2007  Maha.csv,Maha,2006-2007
MAHAWELI_H,0.0,24183.0,0.0,24183.0,24183.0,0.0,0.0,24183.0,5563.0,0.0,0.0,5563.0,21687.0,120653.0,2006-2007  Maha.csv,Maha,2006-2007
COLOMBO,171.0,39.0,669.0,879.0,39.0,171.0,668.0,878.0,3250.0,3250.0,3377.0,3346.0,746.0,2498.0,2007 Yala.csv,Yala,2007
GAMPAHA,112.0,446.0,1849.0,2407.0,446.0,112.0,1837.0,2395.0,3297.0,2714.0,3800.0,3656.0,2035.0,7441.0,2007 Yala.csv,Yala,2007
KALUTARA,1111.0,44.0,5981.0,7135.0,44.0,1102.0,5968.0,7114.0,2838.0,3446.0,2990.0,3060.0,6562.0,20079.0,2007 Yala.csv,Yala,2007
GALLE,36.0,0.0,5834.0,5871.0,0.0,36.0,5803.0,5840.0,0.0,3169.0,3263.0,3262.0,4570.0,14908.0,2007 Yala.csv,Yala,2007
MATARA,3055.0,3259.0,7031.0,13345.0,3184.0,2970.0,6964.0,13118.0,4104.0,3804.0,3493.0,3712.0,10357.0,38441.0,2007 Yala.csv,Yala,2007
RATNAPURA,4116.0,1819.0,1502.0,7437.0,1816.0,4030.0,1474.0,7320.0,5059.0,3760.0,3203.0,3970.0,6222.0,24701.0,2007 Yala.csv,Yala,2007
KEGALLE,1261.0,0.0,3898.0,5159.0,0.0,1233.0,3815.0,5049.0,0.0,3210.0,3317.0,3291.0,4730.0,15566.0,2007 Yala.csv,Yala,2007
KURUNEGALA,9132.0,8415.0,11182.0,28729.0,8406.0,6371.0,8003.0,22780.0,4704.0,3024.0,3340.0,3755.0,22780.0,85542.0,2007 Yala.csv,Yala,2007
PUTTALAM,1945.0,3152.0,223.0,5320.0,3152.0,1844.0,219.0,5215.0,4403.0,3811.0,3247.0,4145.0,4433.0,18373.0,2007 Yala.csv,Yala,2007
KANDY,2252.0,3766.0,2139.0,8157.0,3728.0,2230.0,2096.0,8054.0,4725.0,2993.0,3407.0,3903.0,6369.0,24856.0,2007 Yala.csv,Yala,2007
MATALE,2171.0,2855.0,559.0,5585.0,2836.0,2135.0,555.0,5526.0,4661.0,3699.0,2635.0,4086.0,4969.0,20304.0,2007 Yala.csv,Yala,2007
BADULLA,2997.0,7693.0,15.0,10705.0,7693.0,2997.0,15.0,10705.0,4939.0,3874.0,3874.0,4639.0,9099.0,42214.0,2007 Yala.csv,Yala,2007
MONARAGALA,3498.0,5103.0,325.0,8926.0,5103.0,3496.0,324.0,8923.0,4534.0,4166.0,4166.0,4377.0,8744.0,38269.0,2007 Yala.csv,Yala,2007
KILLINOCHCHI,121.0,3440.0,0.0,3561.0,3405.0,120.0,0.0,3526.0,3542.0,2538.0,0.0,3507.0,3129.0,10974.0,2007 Yala.csv,Yala,2007
VAVUNIYA,179.0,407.0,0.0,586.0,407.0,178.0,0.0,585.0,4505.0,4312.0,0.0,4446.0,552.0,2453.0,2007 Yala.csv,Yala,2007
MULATIVU,162.0,1295.0,405.0,1862.0,1282.0,160.0,397.0,1839.0,3883.0,3125.0,3641.0,3765.0,1735.0,6532.0,2007 Yala.csv,Yala,2007
MANNAR,22.0,821.0,0.0,843.0,812.0,22.0,0.0,835.0,4251.0,3234.0,0.0,4224.0,797.0,3366.0,2007 Yala.csv,Yala,2007
ANURADHAPURA,3331.0,11286.0,19.0,14635.0,11281.0,3324.0,19.0,14623.0,4953.0,4301.0,4301.0,4804.0,11759.0,56492.0,2007 Yala.csv,Yala,2007
POLONNARUWA,1633.0,47925.0,0.0,49558.0,47914.0,1626.0,0.0,49540.0,5065.0,4817.0,0.0,5057.0,43823.0,221598.0,2007 Yala.csv,Yala,2007
TRINCOMALEE,442.0,9925.0,0.0,10368.0,9925.0,442.0,0.0,10368.0,4386.0,4156.0,0.0,4376.0,9632.0,42147.0,2007 Yala.csv,Yala,2007
BATTICALOA,219.0,2450.0,36.0,2705.0,1906.0,198.0,36.0,2141.0,3680.0,3680.0,3680.0,3680.0,1890.0,6955.0,2007 Yala.csv,Yala,2007
AMPARA,1456.0,52332.0,0.0,53787.0,52210.0,1423.0,0.0,53633.0,5025.0,3841.0,0.0,4993.0,51257.0,255935.0,2007 Yala.csv,Yala,2007
HAMBANTOTA,2872.0,17302.0,749.0,20923.0,17214.0,2841.0,716.0,20771.0,5038.0,4770.0,3261.0,4940.0,18148.0,89652.0,2007 Yala.csv,Yala,2007
UDA_WALAWE,0.0,9381.0,0.0,9381.0,9381.0,0.0,0.0,9381.0,5641.0,0.0,0.0,5641.0,9193.0,51855.0,2007 Yala.csv,Yala,2007
MAHAWELI_H,0.0,11440.0,0.0,11440.0,11440.0,0.0,0.0,11440.0,5136.0,0.0,0.0,5136.0,10259.0,52690.0,2007 Yala.csv,Yala,2007
COLOMBO,84.0,805.0,2879.0,3767.0,84.0,805.0,2879.0,3767.0,3889.0,3214.0,3571.0,3502.0,3202.0,11212.0,2007-2008  Maha.csv,Maha,2007-2008
GAMPAHA,1211.0,1239.0,6910.0,9360.0,1211.0,1238.0,6879.0,9328.0,4298.0,3502.0,3353.0,3495.0,7929.0,27714.0,2007-2008  Maha.csv,Maha,2007-2008
KALUTARA,109.0,1991.0,11376.0,13476.0,109.0,1991.0,11376.0,13476.0,2585.0,2979.0,2870.0,2884.0,12431.0,35847.0,2007-2008  Maha.csv,Maha,2007-2008
GALLE,0.0,111.0,14568.0,14679.0,0.0,108.0,14543.0,14652.0,0.0,3608.0,3186.0,3190.0,11466.0,36572.0,2007-2008  Maha.csv,Maha,2007-2008
MATARA,3587.0,3029.0,8248.0,14865.0,3587.0,3025.0,8230.0,14842.0,4184.0,3961.0,3730.0,3887.0,11718.0,45546.0,2007-2008  Maha.csv,Maha,2007-2008
RATNAPURA,1840.0,6386.0,3799.0,12025.0,1821.0,6313.0,3772.0,11906.0,4222.0,3228.0,2992.0,3305.0,10120.0,33449.0,2007-2008  Maha.csv,Maha,2007-2008
KEGALLE,0.0,2470.0,5016.0,7486.0,0.0,2331.0,4844.0,7174.0,0.0,3507.0,3866.0,3749.0,6721.0,25198.0,2007-2008  Maha.csv,Maha,2007-2008
KURUNEGALA,15223.0,32043.0,28085.0,75351.0,15223.0,32005.0,28014.0,75243.0,4439.0,3773.0,3585.0,3838.0,75243.0,288764.0,2007-2008  Maha.csv,Maha,2007-2008
PUTTALAM,4538.0,6441.0,1305.0,12284.0,4536.0,6265.0,1248.0,12050.0,4114.0,3649.0,3742.0,3834.0,10242.0,39269.0,2007-2008  Maha.csv,Maha,2007-2008
KANDY,4136.0,5530.0,3811.0,13476.0,4136.0,5528.0,3788.0,13453.0,4714.0,3294.0,3412.0,3764.0,10639.0,40040.0,2007-2008  Maha.csv,Maha,2007-2008
MATALE,6181.0,8416.0,4522.0,19119.0,6021.0,8360.0,4497.0,18878.0,4544.0,3122.0,3054.0,3559.0,16977.0,60427.0,2007-2008  Maha.csv,Maha,2007-2008
NUWARAELIYA,1191.0,4224.0,212.0,5627.0,1191.0,4224.0,212.0,5627.0,4343.0,3818.0,3818.0,3929.0,3171.0,12458.0,2007-2008  Maha.csv,Maha,2007-2008
BADULLA,10771.0,10097.0,4464.0,25331.0,10770.0,10055.0,4463.0,25288.0,4610.0,3870.0,3355.0,4094.0,21495.0,88002.0,2007-2008  Maha.csv,Maha,2007-2008
MONARAGALA,6859.0,7690.0,11279.0,25827.0,6829.0,7615.0,10970.0,25415.0,4484.0,4109.0,3607.0,3993.0,24906.0,99446.0,2007-2008  Maha.csv,Maha,2007-2008
JAFFNA,0.0,0.0,7566.0,7566.0,0.0,0.0,7248.0,7248.0,0.0,0.0,2887.0,2887.0,6432.0,18568.0,2007-2008  Maha.csv,Maha,2007-2008
