District,Major_Schemes_Sown,Minor_Schemes_Sown,Rainfed_Sown,All_Schemes_Sown,Major_Schemes_Harvested,Minor_Schemes_Harvested,Rainfed_Harvested,All_Schemes_Harvested,Major_Schemes_Yield,Minor_Schemes_Yield,Rainfed_Yield,Average_Yield,Nett_Extent_Harvested,Total_Production,Source_File,Season,Year
VAVUNIYA,1752.0,4285.0,384.0,6422.0,1752.0,4265.0,384.0,6402.0,4275.0,3327.0,3327.0,3587.0,6040.0,21663.0,2007-2008  Maha.csv,Maha,2007-2008
MULATIVU,2873.0,1335.0,2388.0,6596.0,2586.0,1202.0,2149.0,5937.0,3867.0,3094.0,3094.0,3430.0,5601.0,19215.0,2007-2008  Maha.csv,Maha,2007-2008
MANNAR,4410.0,484.0,0.0,4894.0,2301.0,380.0,0.0,2681.0,3707.0,3234.0,0.0,3640.0,2559.0,9317.0,2007-2008  Maha.csv,Maha,2007-2008
ANURADHAPURA,28061.0,39691.0,4965.0,72717.0,27590.0,39013.0,4917.0,71520.0,4769.0,4110.0,3339.0,4311.0,57509.0,247941.0,2007-2008  Maha.csv,Maha,2007-2008
POLONNARUWA,51502.0,2429.0,1598.0,55529.0,51275.0,2388.0,1576.0,55240.0,4947.0,4529.0,3927.0,4900.0,48865.0,239437.0,2007-2008  Maha.csv,Maha,2007-2008
TRINCOMALEE,12910.0,2407.0,3670.0,18987.0,10615.0,2371.0,3606.0,16592.0,4599.0,4397.0,3730.0,4381.0,15414.0,67534.0,2007-2008  Maha.csv,Maha,2007-2008
BATTICALOA,9380.0,389.0,9366.0,19134.0,7661.0,341.0,9028.0,17030.0,4035.0,3390.0,3353.0,3661.0,15030.0,55020.0,2007-2008  Maha.csv,Maha,2007-2008
AMPARA,57966.0,1692.0,4832.0,64490.0,57949.0,1692.0,4794.0,64435.0,4966.0,4090.0,3909.0,4864.0,61580.0,299533.0,2007-2008  Maha.csv,Maha,2007-2008
HAMBANTOTA,18799.0,4048.0,1387.0,24234.0,18751.0,3928.0,1328.0,24007.0,4866.0,4645.0,3643.0,4762.0,20975.0,99879.0,2007-2008  Maha.csv,Maha,2007-2008
UDA_WALAWE,9527.0,0.0,0.0,9527.0,9527.0,0.0,0.0,9527.0,5661.0,0.0,0.0,5661.0,9336.0,52855.0,2007-2008  Maha.csv,Maha,2007-2008
